doc_id,sentence_id,matched_form,context,start_char,end_char,cluster,pca1,pca2,dist_to_cluster_0,dist_to_cluster_1
A06785.txt,54,prices,"Statesmen have observed for a general rule, that the enhancing of the coin doth generally raise the prices of commodities: shall we term this a fallacy, P. 39 because that the linens in Germany have these two or three year's last, come thence so cheap, notwithstanding they were bought with moneys given out at high rates, especially when intestine wars make things good cheap, as Monsieur Bodine hath observed in France and other places?",100,106,1,2.6949651,-1.4590425,9.2950325,8.152607
A06785.txt,55,price,"Again, when the price of commodities is raised generally with the price of moneys enhanced; P. 25. shall we contradict the same, because one commodity, as Cloves, is not risen, but sold as a staple ware?",16,21,1,2.2988536,-1.3975627,6.031672,4.297728
A06785.txt,55,price,"Again, when the price of commodities is raised generally with the price of moneys enhanced; P. 25. shall we contradict the same, because one commodity, as Cloves, is not risen, but sold as a staple ware?",66,71,1,2.2858965,-0.6554679,6.3836713,4.943309
A06785.txt,56,price,"Likewise when moneys are not imported, when there is a loss by the bringing of them: Moneys decayed of their price are imported again. shall we deny this principle when moneys are brought in, being decried or made bullion beyond the seas, as the jacobus and other coins have been of late in Holland and those parts, which caused some quantity (for a time) to be imported again?",109,114,0,-1.2613627,-1.6623316,7.403355,7.655303
A06785.txt,58,price,"The general Trade, all the world over, is made by the rule and square of moneys, which is therefore called publica mensura in all countries where moneys are used to set a price unto all commodities.",171,176,0,-0.3807478,0.3170534,6.795249,7.0767155
A06785.txt,70,price,"Otherwise, if the money rise in denomination, above the true worth in valuation, and the Exchange also rise accordingly: if this Merchant do not raise the price of his Commodity in due proportion answerable thereunto; he shall be sure to come home by weeping cross, how ever he make his return, whether by Exchange; or in Money, Bullion, or wares. etc.",155,160,1,-0.78525114,-2.4040616,5.5738697,5.4205093
A06785.txt,74,price,"So as the words Together with the course of Exchange, were also considered of, and that the price of Exchange did rise proportionally with the rising of the moneys, whereof we do complain: Shall this Merchant come home by weeping cross that doth not the same? and shall not Exchange for moneys be the public measure? you will buy cloth of a Draper by the yard at a certain price, and yet the yard whereby it is measured must not be called the measure.",92,97,1,1.1399624,-1.0368482,6.18579,5.252163
A06785.txt,74,price,"So as the words Together with the course of Exchange, were also considered of, and that the price of Exchange did rise proportionally with the rising of the moneys, whereof we do complain: Shall this Merchant come home by weeping cross that doth not the same? and shall not Exchange for moneys be the public measure? you will buy cloth of a Draper by the yard at a certain price, and yet the yard whereby it is measured must not be called the measure.",373,378,0,-3.7844672,1.7543248,6.518568,8.217287
A06785.txt,76,price,"To make this more evident, General Rules, consider we of these general rules, even as plenty of money maketh things dear, and Scarcity of money maketh things good cheap: even so plenty or scarcity of commodities maketh the price thereof to rise and fall according to their use more or less, which rule is not without exception, howbeit, Money must not be bereft of her function, as the right judge thereof.",223,228,1,0.5787007,-2.0755827,6.7371264,6.0507617
A06785.txt,77,prices,"And so it is in matters of Exchanges, whereby commodities are dearer or better cheap, according to the Positive Exchange, Positive Exchange. wherein the prices of commodities do perpetually follow the rates of Exchange: but the Exchange having also another course of rising and falling in price, according to plenty or scarcity of moneys, and the few or many Takers or deliverers of money, Currant Exchange. which may be termed The currant Exchange: hath not the like operation, to make daily (as it were) the prices of commodities to rise and fall according to the said Exchange, for as the few or many takers or deliverers of money doth proportionate this price of Exchange in all Countries, according to the true value or above the same, grounded upon the said Positive Exchange, so doth plenty or scarcity of money do the like, and the commodities so bought by moneys taken up by Exchange, are calculated by Merchants of experience in price to cost accordingly.",153,159,1,1.5363345,-1.9412537,9.369961,8.559096
A06785.txt,77,price,"And so it is in matters of Exchanges, whereby commodities are dearer or better cheap, according to the Positive Exchange, Positive Exchange. wherein the prices of commodities do perpetually follow the rates of Exchange: but the Exchange having also another course of rising and falling in price, according to plenty or scarcity of moneys, and the few or many Takers or deliverers of money, Currant Exchange. which may be termed The currant Exchange: hath not the like operation, to make daily (as it were) the prices of commodities to rise and fall according to the said Exchange, for as the few or many takers or deliverers of money doth proportionate this price of Exchange in all Countries, according to the true value or above the same, grounded upon the said Positive Exchange, so doth plenty or scarcity of money do the like, and the commodities so bought by moneys taken up by Exchange, are calculated by Merchants of experience in price to cost accordingly.",289,294,1,1.4419158,0.48080257,9.266179,8.856781
A06785.txt,77,prices,"And so it is in matters of Exchanges, whereby commodities are dearer or better cheap, according to the Positive Exchange, Positive Exchange. wherein the prices of commodities do perpetually follow the rates of Exchange: but the Exchange having also another course of rising and falling in price, according to plenty or scarcity of moneys, and the few or many Takers or deliverers of money, Currant Exchange. which may be termed The currant Exchange: hath not the like operation, to make daily (as it were) the prices of commodities to rise and fall according to the said Exchange, for as the few or many takers or deliverers of money doth proportionate this price of Exchange in all Countries, according to the true value or above the same, grounded upon the said Positive Exchange, so doth plenty or scarcity of money do the like, and the commodities so bought by moneys taken up by Exchange, are calculated by Merchants of experience in price to cost accordingly.",510,516,1,1.0083373,-1.7804153,10.151469,9.568004
A06785.txt,77,price,"And so it is in matters of Exchanges, whereby commodities are dearer or better cheap, according to the Positive Exchange, Positive Exchange. wherein the prices of commodities do perpetually follow the rates of Exchange: but the Exchange having also another course of rising and falling in price, according to plenty or scarcity of moneys, and the few or many Takers or deliverers of money, Currant Exchange. which may be termed The currant Exchange: hath not the like operation, to make daily (as it were) the prices of commodities to rise and fall according to the said Exchange, for as the few or many takers or deliverers of money doth proportionate this price of Exchange in all Countries, according to the true value or above the same, grounded upon the said Positive Exchange, so doth plenty or scarcity of money do the like, and the commodities so bought by moneys taken up by Exchange, are calculated by Merchants of experience in price to cost accordingly.",658,663,1,0.57759076,-0.33755043,6.806711,6.365762
A06785.txt,77,price,"And so it is in matters of Exchanges, whereby commodities are dearer or better cheap, according to the Positive Exchange, Positive Exchange. wherein the prices of commodities do perpetually follow the rates of Exchange: but the Exchange having also another course of rising and falling in price, according to plenty or scarcity of moneys, and the few or many Takers or deliverers of money, Currant Exchange. which may be termed The currant Exchange: hath not the like operation, to make daily (as it were) the prices of commodities to rise and fall according to the said Exchange, for as the few or many takers or deliverers of money doth proportionate this price of Exchange in all Countries, according to the true value or above the same, grounded upon the said Positive Exchange, so doth plenty or scarcity of money do the like, and the commodities so bought by moneys taken up by Exchange, are calculated by Merchants of experience in price to cost accordingly.",939,944,0,-0.8575542,-0.264054,7.657799,8.045181
A06785.txt,85,price,"This saith he, is a better direction than limitation of exchanges; whereby you may understand how he is mistaken, supposing that the price of the Currant exchange should be limited, and not rise and fall according to the nature of exchange, upon plenty or scarcity of money, and the many or few takers or deliverers of the money, as hath been declared.",133,138,1,-0.044282634,-2.414572,5.666292,5.133635
A06785.txt,91,price,"Tell me (I pray you) if the King or the Nobility and all other men should deliver money by exchange at so low a price, under the true value of the moneys, that there were ten or twelve in the hundreth to be gotten in a month's time, between the money inspecie and by exchange, whereby he that taketh the money, hath an ability given him to export that money by all secret conveyances: to pay his bill of exchange therewith beyond the Seas, and to put the overplus (of this incomparable gain) into his purse, do not you think that the money will be exported by them that are the takers thereof? whereby the kingdom loseth the money, and you that are the deliverers of the money: the benefit which they reap thereby, which you ought to have given you by just and true exchange?",112,117,0,-3.2758875,2.0470612,6.8465004,8.326234
